time,timestamp,predicted_load,actual_load,forecast_error,pods_before,pods_after,scaling_action,reason,cpu_utilization,sla_breached_before,scenario,strategy
0,0,320.62402665725995,323.0,2.3759733427400533,5,5,0,utilization=64.12%,0.6412480533145198,False,PREDICTED_5M,REACTIVE
1,1,299.0795802403989,403.0,103.92041975960107,5,5,0,utilization=59.82%,0.5981591604807979,False,PREDICTED_5M,REACTIVE
2,2,356.56987168184315,409.0,52.43012831815685,5,6,1,utilization=71.31%,0.5942831194697386,False,PREDICTED_5M,REACTIVE
3,3,386.8303964364025,412.0,25.16960356359749,6,6,0,utilization=64.47%,0.6447173273940042,False,PREDICTED_5M,REACTIVE
4,4,387.3571715118735,393.0,5.642828488126497,6,6,0,utilization=64.56%,0.6455952858531225,False,PREDICTED_5M,REACTIVE
5,5,387.3571715118735,404.0,16.642828488126497,6,6,0,utilization=64.56%,0.6455952858531225,False,PREDICTED_5M,REACTIVE
6,6,394.3136913201163,413.0,18.686308679883723,6,6,0,utilization=65.72%,0.6571894855335271,False,PREDICTED_5M,REACTIVE
7,7,394.3136913201163,365.0,-29.31369132011628,6,6,0,utilization=65.72%,0.6571894855335271,False,PREDICTED_5M,REACTIVE
8,8,387.9399720431937,338.0,-49.93997204319368,6,6,0,utilization=64.66%,0.6465666200719895,False,PREDICTED_5M,REACTIVE
9,9,366.2306231459399,391.0,24.769376854060116,6,6,0,utilization=61.04%,0.6103843719098998,False,PREDICTED_5M,REACTIVE
10,10,387.3571715118735,321.0,-66.3571715118735,6,6,0,utilization=64.56%,0.6455952858531225,False,PREDICTED_5M,REACTIVE
11,11,364.9705843706471,258.0,-106.97058437064707,6,6,0,utilization=60.83%,0.6082843072844119,False,PREDICTED_5M,REACTIVE
12,12,322.5715747552832,223.0,-99.57157475528317,6,6,0,utilization=53.76%,0.5376192912588054,False,PREDICTED_5M,REACTIVE
13,13,278.0248403002186,418.0,139.9751596997814,6,6,0,utilization=46.34%,0.4633747338336977,False,PREDICTED_5M,REACTIVE
14,14,359.2100877852959,384.0,24.78991221470409,6,6,0,utilization=59.87%,0.5986834796421598,False,PREDICTED_5M,REACTIVE
15,15,354.2202091303941,292.0,-62.22020913039415,6,6,0,utilization=59.04%,0.5903670152173235,False,PREDICTED_5M,REACTIVE
16,16,329.30814574844754,293.0,-36.30814574844754,6,6,0,utilization=54.88%,0.5488469095807459,False,PREDICTED_5M,REACTIVE
17,17,323.4764181357776,329.0,5.523581864222422,6,6,0,utilization=53.91%,0.5391273635596293,False,PREDICTED_5M,REACTIVE
18,18,334.1854594317136,295.0,-39.18545943171358,6,6,0,utilization=55.70%,0.5569757657195227,False,PREDICTED_5M,REACTIVE
19,19,310.0297509366828,270.0,-40.02975093668277,6,6,0,utilization=51.67%,0.516716251561138,False,PREDICTED_5M,REACTIVE
20,20,310.0501952745826,286.0,-24.05019527458262,6,6,0,utilization=51.68%,0.5167503254576377,False,PREDICTED_5M,REACTIVE
21,21,304.2967542963796,300.0,-4.296754296379618,6,6,0,utilization=50.72%,0.5071612571606327,False,PREDICTED_5M,REACTIVE
22,22,304.9946098895143,430.0,125.00539011048568,6,6,0,utilization=50.83%,0.5083243498158572,False,PREDICTED_5M,REACTIVE
23,23,342.9865180790926,355.0,12.013481920907395,6,6,0,utilization=57.16%,0.5716441967984877,False,PREDICTED_5M,REACTIVE
24,24,328.9608690536962,375.0,46.03913094630383,6,6,0,utilization=54.83%,0.5482681150894936,False,PREDICTED_5M,REACTIVE
25,25,358.139013926295,341.0,-17.13901392629498,6,6,0,utilization=59.69%,0.596898356543825,False,PREDICTED_5M,REACTIVE
26,26,343.97577023505727,288.0,-55.97577023505727,6,6,0,utilization=57.33%,0.5732929503917621,False,PREDICTED_5M,REACTIVE
27,27,311.20284463453913,467.0,155.79715536546087,6,6,0,utilization=51.87%,0.5186714077242319,False,PREDICTED_5M,REACTIVE
28,28,379.75900652485626,389.0,9.24099347514374,6,6,0,utilization=63.29%,0.6329316775414271,False,PREDICTED_5M,REACTIVE
29,29,368.38505995179776,370.0,1.614940048202243,6,6,0,utilization=61.40%,0.6139750999196629,False,PREDICTED_5M,REACTIVE
30,30,359.08823906233624,442.0,82.91176093766376,6,6,0,utilization=59.85%,0.5984803984372271,False,PREDICTED_5M,REACTIVE
31,31,381.5330878826432,324.0,-57.5330878826432,6,6,0,utilization=63.59%,0.6358884798044053,False,PREDICTED_5M,REACTIVE
32,32,348.0830674108988,298.0,-50.08306741089882,6,6,0,utilization=58.01%,0.5801384456848314,False,PREDICTED_5M,REACTIVE
33,33,338.6020213818952,276.0,-62.60202138189516,6,6,0,utilization=56.43%,0.5643367023031587,False,PREDICTED_5M,REACTIVE
34,34,326.2622860733027,274.0,-52.26228607330268,6,6,0,utilization=54.38%,0.5437704767888378,False,PREDICTED_5M,REACTIVE
35,35,319.0765203516195,403.0,83.92347964838052,6,6,0,utilization=53.18%,0.5317942005860324,False,PREDICTED_5M,REACTIVE
36,36,349.38370764855455,401.0,51.61629235144545,6,6,0,utilization=58.23%,0.5823061794142576,False,PREDICTED_5M,REACTIVE
37,37,347.20440082008315,359.0,11.795599179916849,6,6,0,utilization=57.87%,0.5786740013668052,False,PREDICTED_5M,REACTIVE
38,38,346.44746365878905,469.0,122.55253634121097,6,6,0,utilization=57.74%,0.577412439431315,False,PREDICTED_5M,REACTIVE
39,39,373.72908348987096,514.0,140.27091651012904,6,6,0,utilization=62.29%,0.6228818058164516,False,PREDICTED_5M,REACTIVE
40,40,379.58943611868233,434.0,54.41056388131767,6,6,0,utilization=63.26%,0.6326490601978039,False,PREDICTED_5M,REACTIVE
41,41,376.5458829690203,369.0,-7.545882969020283,6,6,0,utilization=62.76%,0.6275764716150338,False,PREDICTED_5M,REACTIVE
42,42,371.8889253436134,226.0,-145.88892534361338,6,6,0,utilization=61.98%,0.619814875572689,False,PREDICTED_5M,REACTIVE
43,43,287.3479637084623,314.0,26.652036291537684,6,6,0,utilization=47.89%,0.4789132728474372,False,PREDICTED_5M,REACTIVE
44,44,338.9794884452978,246.0,-92.97948844529782,6,6,0,utilization=56.50%,0.5649658140754964,False,PREDICTED_5M,REACTIVE
45,45,301.2856046909914,338.0,36.71439530900858,6,6,0,utilization=50.21%,0.5021426744849857,False,PREDICTED_5M,REACTIVE
46,46,341.924619096704,305.0,-36.92461909670402,6,6,0,utilization=56.99%,0.5698743651611734,False,PREDICTED_5M,REACTIVE
47,47,326.5597106034824,389.0,62.44028939651759,6,6,0,utilization=54.43%,0.5442661843391373,False,PREDICTED_5M,REACTIVE
48,48,341.66619559489,274.0,-67.66619559488998,6,6,0,utilization=56.94%,0.5694436593248167,False,PREDICTED_5M,REACTIVE
49,49,294.3900101948276,345.0,50.6099898051724,6,6,0,utilization=49.07%,0.49065001699137933,False,PREDICTED_5M,REACTIVE
50,50,326.18529681777454,306.0,-20.185296817774542,6,6,0,utilization=54.36%,0.5436421613629576,False,PREDICTED_5M,REACTIVE
51,51,298.2424383747255,140.0,-158.2424383747255,6,6,0,utilization=49.71%,0.4970707306245425,False,PREDICTED_5M,REACTIVE
52,52,211.76165976929948,247.0,35.23834023070052,6,6,0,utilization=35.29%,0.35293609961549915,False,PREDICTED_5M,REACTIVE
53,53,275.50358318440533,258.0,-17.50358318440533,6,6,0,utilization=45.92%,0.45917263864067553,False,PREDICTED_5M,REACTIVE
54,54,262.66344705432346,269.0,6.336552945676544,6,6,0,utilization=43.78%,0.43777241175720577,False,PREDICTED_5M,REACTIVE
55,55,267.9884967174866,263.0,-4.988496717486612,6,6,0,utilization=44.66%,0.4466474945291444,False,PREDICTED_5M,REACTIVE
56,56,272.0689075787886,197.0,-75.06890757878858,6,6,0,utilization=45.34%,0.453448179297981,False,PREDICTED_5M,REACTIVE
57,57,238.6885912569716,208.0,-30.68859125697159,6,6,0,utilization=39.78%,0.3978143187616193,False,PREDICTED_5M,REACTIVE
58,58,239.80520046974607,358.0,118.19479953025392,6,6,0,utilization=39.97%,0.39967533411624345,False,PREDICTED_5M,REACTIVE
59,59,291.25210161627655,210.0,-81.25210161627655,6,6,0,utilization=48.54%,0.4854201693604609,False,PREDICTED_5M,REACTIVE
60,60,233.66205516783828,189.0,-44.66205516783828,6,6,0,utilization=38.94%,0.3894367586130638,False,PREDICTED_5M,REACTIVE
61,61,213.53224648579325,239.0,25.46775351420675,6,6,0,utilization=35.59%,0.3558870774763221,False,PREDICTED_5M,REACTIVE
62,62,238.44609571313097,194.0,-44.44609571313097,6,6,0,utilization=39.74%,0.39741015952188496,False,PREDICTED_5M,REACTIVE
63,63,212.6306293233489,224.0,11.3693706766511,6,6,0,utilization=35.44%,0.3543843822055815,False,PREDICTED_5M,REACTIVE
64,64,233.39480643039695,211.0,-22.394806430396983,6,6,0,utilization=38.90%,0.3889913440506616,False,PREDICTED_5M,REACTIVE
65,65,221.17298713852423,180.0,-41.17298713852426,6,6,0,utilization=36.86%,0.3686216452308737,False,PREDICTED_5M,REACTIVE
66,66,208.9141479726064,133.0,-75.91414797260637,6,6,0,utilization=34.82%,0.34819024662101067,False,PREDICTED_5M,REACTIVE
67,67,170.49042644590511,260.0,89.50957355409489,6,5,-1,utilization=28.42%,0.34098085289181024,False,PREDICTED_5M,REACTIVE
68,68,234.00167739311212,186.0,-48.00167739311215,5,5,0,utilization=46.80%,0.46800335478622423,False,PREDICTED_5M,REACTIVE
69,69,197.82778794952424,206.0,8.172212050475764,5,5,0,utilization=39.57%,0.3956555758990485,False,PREDICTED_5M,REACTIVE
70,70,208.70418115425355,232.0,23.295818845746453,5,5,0,utilization=41.74%,0.4174083623085071,False,PREDICTED_5M,REACTIVE
71,71,203.99968594897229,265.0,61.00031405102772,5,5,0,utilization=40.80%,0.40799937189794455,False,PREDICTED_5M,REACTIVE
72,72,232.5980066052891,259.0,26.4019933947109,5,5,0,utilization=46.52%,0.4651960132105782,False,PREDICTED_5M,REACTIVE
73,73,232.96258513039936,182.0,-50.96258513039936,5,5,0,utilization=46.59%,0.4659251702607987,False,PREDICTED_5M,REACTIVE
74,74,200.87420235817729,238.0,37.12579764182274,5,5,0,utilization=40.17%,0.4017484047163546,False,PREDICTED_5M,REACTIVE
75,75,224.93080301632875,97.0,-127.93080301632877,5,5,0,utilization=44.99%,0.4498616060326575,False,PREDICTED_5M,REACTIVE
76,76,139.34465625809082,188.0,48.65534374190918,5,4,-1,utilization=27.87%,0.34836164064522707,False,PREDICTED_5M,REACTIVE
77,77,198.54496282123756,119.0,-79.54496282123753,4,4,0,utilization=49.64%,0.4963624070530939,False,PREDICTED_5M,REACTIVE
78,78,159.05921469445252,175.0,15.94078530554748,4,4,0,utilization=39.76%,0.3976480367361313,False,PREDICTED_5M,REACTIVE
79,79,188.70532048135703,121.0,-67.70532048135706,4,4,0,utilization=47.18%,0.4717633012033926,False,PREDICTED_5M,REACTIVE
80,80,158.91833540313092,122.0,-36.918335403130925,4,4,0,utilization=39.73%,0.3972958385078273,False,PREDICTED_5M,REACTIVE
81,81,161.60649432964192,196.0,34.39350567035808,4,4,0,utilization=40.40%,0.4040162358241048,False,PREDICTED_5M,REACTIVE
82,82,184.1856894691972,222.0,37.8143105308028,4,4,0,utilization=46.05%,0.460464223672993,False,PREDICTED_5M,REACTIVE
83,83,190.28027914934515,141.0,-49.28027914934515,4,4,0,utilization=47.57%,0.4757006978733629,False,PREDICTED_5M,REACTIVE
84,84,168.2245969671984,214.0,45.77540303280159,4,4,0,utilization=42.06%,0.420561492417996,False,PREDICTED_5M,REACTIVE
85,85,203.0372494511741,238.0,34.96275054882591,4,4,0,utilization=50.76%,0.5075931236279352,False,PREDICTED_5M,REACTIVE
86,86,194.76437997778496,233.0,38.235620022215045,4,4,0,utilization=48.69%,0.4869109499444624,False,PREDICTED_5M,REACTIVE
87,87,198.6353480399943,111.0,-87.63534803999431,4,4,0,utilization=49.66%,0.4965883700999858,False,PREDICTED_5M,REACTIVE
88,88,155.41999450744817,189.0,33.580005492551834,4,4,0,utilization=38.85%,0.3885499862686204,False,PREDICTED_5M,REACTIVE
89,89,184.7569848313325,144.0,-40.75698483133252,4,4,0,utilization=46.19%,0.46189246207833123,False,PREDICTED_5M,REACTIVE
90,90,162.38343012393426,196.0,33.61656987606574,4,4,0,utilization=40.60%,0.40595857530983565,False,PREDICTED_5M,REACTIVE
91,91,185.61072966944707,207.0,21.38927033055293,4,4,0,utilization=46.40%,0.4640268241736177,False,PREDICTED_5M,REACTIVE
92,92,188.7055517795744,178.0,-10.705551779574364,4,4,0,utilization=47.18%,0.471763879448936,False,PREDICTED_5M,REACTIVE
93,93,183.90970527104705,94.0,-89.90970527104702,4,4,0,utilization=45.98%,0.4597742631776176,False,PREDICTED_5M,REACTIVE
94,94,147.3216073376824,101.0,-46.3216073376824,4,4,0,utilization=36.83%,0.368304018344206,False,PREDICTED_5M,REACTIVE
95,95,148.2026268616156,105.0,-43.20262686161561,4,4,0,utilization=37.05%,0.370506567154039,False,PREDICTED_5M,REACTIVE
96,96,151.31316123100763,173.0,21.686838768992345,4,4,0,utilization=37.83%,0.37828290307751905,False,PREDICTED_5M,REACTIVE
97,97,169.53997032828713,207.0,37.46002967171288,4,4,0,utilization=42.38%,0.4238499258207178,False,PREDICTED_5M,REACTIVE
98,98,183.10970876770145,169.0,-14.109708767701449,4,4,0,utilization=45.78%,0.45777427191925363,False,PREDICTED_5M,REACTIVE
99,99,175.98789629183645,147.0,-28.98789629183645,4,4,0,utilization=44.00%,0.4399697407295911,False,PREDICTED_5M,REACTIVE
100,100,172.16119739044046,143.0,-29.161197390440464,4,4,0,utilization=43.04%,0.43040299347610117,False,PREDICTED_5M,REACTIVE
101,101,163.53417321956184,149.0,-14.534173219561836,4,4,0,utilization=40.88%,0.4088354330489046,False,PREDICTED_5M,REACTIVE
102,102,169.88513828581856,144.0,-25.88513828581856,4,4,0,utilization=42.47%,0.42471284571454637,False,PREDICTED_5M,REACTIVE
103,103,158.98522781603674,187.0,28.01477218396326,4,4,0,utilization=39.75%,0.39746306954009186,False,PREDICTED_5M,REACTIVE
104,104,164.5081259504463,203.0,38.4918740495537,4,4,0,utilization=41.13%,0.41127031487611576,False,PREDICTED_5M,REACTIVE
105,105,174.4434360902707,138.0,-36.44343609027069,4,4,0,utilization=43.61%,0.4361085902256767,False,PREDICTED_5M,REACTIVE
106,106,158.69986890090226,285.0,126.30013109909774,4,4,0,utilization=39.67%,0.39674967225225566,False,PREDICTED_5M,REACTIVE
107,107,225.9905032038898,144.0,-81.9905032038898,4,4,0,utilization=56.50%,0.5649762580097245,False,PREDICTED_5M,REACTIVE
108,108,174.61189518761157,182.0,7.388104812388434,4,4,0,utilization=43.65%,0.43652973796902894,False,PREDICTED_5M,REACTIVE
109,109,184.30823765852523,157.0,-27.30823765852523,4,4,0,utilization=46.08%,0.46077059414631305,False,PREDICTED_5M,REACTIVE
110,110,179.65412808591935,177.0,-2.654128085919353,4,4,0,utilization=44.91%,0.4491353202147984,False,PREDICTED_5M,REACTIVE
111,111,192.86143610913055,136.0,-56.86143610913058,4,4,0,utilization=48.22%,0.4821535902728264,False,PREDICTED_5M,REACTIVE
112,112,171.95976169029032,218.0,46.04023830970968,4,4,0,utilization=42.99%,0.4298994042257258,False,PREDICTED_5M,REACTIVE
113,113,198.3885478462317,133.0,-65.38854784623172,4,4,0,utilization=49.60%,0.4959713696155792,False,PREDICTED_5M,REACTIVE
114,114,154.4069982863396,179.0,24.593001713660414,4,4,0,utilization=38.60%,0.386017495715849,False,PREDICTED_5M,REACTIVE
115,115,179.8235442044486,115.0,-64.82354420444861,4,4,0,utilization=44.96%,0.44955886051112154,False,PREDICTED_5M,REACTIVE
116,116,146.25805099193573,104.0,-42.25805099193573,4,4,0,utilization=36.56%,0.36564512747983935,False,PREDICTED_5M,REACTIVE
117,117,154.0267138879593,111.0,-43.02671388795929,4,4,0,utilization=38.51%,0.38506678471989825,False,PREDICTED_5M,REACTIVE
118,118,151.04371246381743,155.0,3.956287536182572,4,4,0,utilization=37.76%,0.37760928115954356,False,PREDICTED_5M,REACTIVE
119,119,163.76527274979657,169.0,5.234727250203434,4,4,0,utilization=40.94%,0.40941318187449144,False,PREDICTED_5M,REACTIVE
120,120,150.80833657978275,172.0,21.191663420217253,4,4,0,utilization=37.70%,0.37702084144945686,False,PREDICTED_5M,REACTIVE
121,121,156.7202873007215,183.0,26.27971269927849,4,4,0,utilization=39.18%,0.3918007182518038,False,PREDICTED_5M,REACTIVE
122,122,166.82386896357897,155.0,-11.823868963578946,4,4,0,utilization=41.71%,0.4170596724089474,False,PREDICTED_5M,REACTIVE
