timestamp,requests_count,log_requests,is_burst,burst_ratio,is_event,hour_of_day,day_of_week,hour_sin,hour_cos,lag_requests_5m,lag_requests_15m,rolling_max_1h,rolling_mean_1h,lag_requests_6h,lag_requests_1d
1995-07-01 11:00:00,301,5.71042701737487,0,,0,11,5,0.258819045102521,-0.9659258262890682,,,,,,
1995-07-01 11:05:00,267,5.5909869805108565,0,0.9999999966777409,0,11,5,0.258819045102521,-0.9659258262890682,301.0,,301.0,301.0,,
1995-07-01 11:10:00,242,5.493061443340548,0,0.9401408417600675,0,11,5,0.258819045102521,-0.9659258262890682,267.0,,301.0,284.0,,
1995-07-01 11:15:00,282,5.645446897643238,0,0.8962962929766805,0,11,5,0.258819045102521,-0.9659258262890682,242.0,301.0,301.0,270.0,,
1995-07-01 11:20:00,318,5.765191102784844,0,1.0329670291832709,0,11,5,0.258819045102521,-0.9659258262890682,282.0,267.0,301.0,273.0,,
1995-07-01 11:25:00,344,5.84354441703136,0,1.1276595704692922,0,11,5,0.258819045102521,-0.9659258262890682,318.0,242.0,318.0,282.0,,
1995-07-01 11:30:00,326,5.7899601708972535,0,1.1767388785288295,0,11,5,0.258819045102521,-0.9659258262890682,344.0,282.0,344.0,292.3333333333333,,
1995-07-01 11:35:00,361,5.8916442118257715,0,1.0971153809231693,0,11,5,0.258819045102521,-0.9659258262890682,326.0,318.0,344.0,297.14285714285717,,
1995-07-01 11:40:00,319,5.768320995793772,0,1.1831216675686302,0,11,5,0.258819045102521,-0.9659258262890682,361.0,344.0,361.0,305.125,,
1995-07-01 11:45:00,205,5.327876168789581,0,1.0402173879123346,0,11,5,0.258819045102521,-0.9659258262890682,319.0,326.0,361.0,306.6666666666667,,
1995-07-01 11:50:00,307,5.730099782973574,0,0.6913996604000011,0,11,5,0.258819045102521,-0.9659258262890682,205.0,361.0,361.0,296.5,,
1995-07-01 11:55:00,286,5.659482215759621,0,1.0320904610779356,0,11,5,0.258819045102521,-0.9659258262890682,307.0,319.0,361.0,297.45454545454544,,
1995-07-01 12:00:00,241,5.488937726156687,0,0.9645868432897577,0,12,5,1.2246467991473532e-16,-1.0,286.0,205.0,361.0,296.5,,
1995-07-01 12:05:00,249,5.521460917862246,0,0.8267581446766444,0,12,5,1.2246467991473532e-16,-1.0,241.0,307.0,361.0,291.5,,
1995-07-01 12:10:00,256,5.54907608489522,0,0.8586206866944114,0,12,5,1.2246467991473532e-16,-1.0,249.0,286.0,361.0,290.0,,
1995-07-01 12:15:00,214,5.3706380281276624,0,0.8792215195905385,0,12,5,1.2246467991473532e-16,-1.0,256.0,241.0,361.0,291.1666666666667,,
